Força;Posição
0.4243;0.0116
1.6213;0.0580
5.7354;0.0580
5.7354;0.1152
8.5327;0.1600
11.6767;0.2060
13.6290;0.2508
16.0179;0.2508
16.0179;0.2968
17.6445;0.3428
19.2940;0.3892
21.1301;0.4352
22.8588;0.4352
22.8588;0.4816
24.5171;0.5268
25.8180;0.5720
27.1190;0.6168
28.6576;0.6612
29.8581;0.6612
29.8581;0.7064
31.1362;0.7508
32.2012;0.7956
33.3437;0.8404
34.3524;0.8404
34.3524;0.8864
35.3101;0.9316
36.4702;0.9776
37.3363;1.0216
38.4049;1.0216
38.4049;1.0676
39.2552;1.1132
40.1125;1.1580
40.9839;1.2036
41.7021;1.2488
42.6017;1.2488
42.6017;1.2936
43.2970;1.3392
44.1456;1.3836
44.8303;1.4284
45.3919;1.4284
45.3919;1.4732
46.1418;1.5176
46.7228;1.5636
47.4023;1.6100
47.9656;1.6100
48.7103;1.6548
48.7103;1.7004
49.3035;1.7444
49.9619;1.7904
50.6045;1.8360
51.1343;1.8360
51.1343;1.8816
51.7558;1.9280
52.2540;1.9728
52.7310;2.0180
53.4352;2.0180
53.4352;2.0628
53.9422;2.1084
54.5794;2.1544
55.0583;2.1996
55.6058;2.1996
56.1708;2.2448
56.1708;2.2900
56.6321;2.3356
57.2746;2.3816
57.6883;2.4280
58.2692;2.4280
58.2692;2.4740
58.6935;2.5188
59.1741;2.5632
59.6265;2.6080
60.0508;2.6080
60.0508;2.6524
60.6106;2.6972
60.9979;2.7424
61.5682;2.7880
62.0312;2.8336
62.4643;2.8336
62.4643;2.8796
62.8832;2.9248
63.2670;2.9696
63.7863;3.0140
64.1261;3.0140
64.1261;3.0592
64.4923;3.1044
64.9676;3.1504
65.3601;3.1968
65.7404;3.1968
65.7404;3.2420
66.1664;3.2872
66.5343;3.3328
66.9867;3.3776
67.3318;3.3776
67.7613;3.4224
67.7613;3.4684
68.1310;3.5136
68.4373;3.5600
68.7894;3.5600
69.1221;3.6056
69.1221;3.6520
69.6115;3.6984
69.9389;3.7440
70.3086;3.7892
70.6501;3.7892
70.6501;3.8344
70.9124;3.8792
71.2592;3.9252
71.5427;3.9708
71.9247;3.9708
71.9247;4.0152
72.2503;4.0608
72.6235;4.1060
72.9932;4.1508
73.2502;4.1508
73.2502;4.1968
73.5812;4.2420
73.8611;4.2868
74.2044;4.3312
74.4913;4.3312
74.7536;4.3776
74.7536;4.4220
75.1761;4.4680
75.4155;4.5132
75.7430;4.5588
75.9965;4.5588
75.9965;4.6044
76.3274;4.6504
76.6760;4.6956
76.9013;4.7404
77.2833;4.7404
77.2833;4.7860
77.5227;4.8320
77.8326;4.8776
78.0526;4.9224
78.3272;4.9224
78.5913;4.9672
78.5913;5.0128
78.8272;5.0572
79.2022;5.1024
79.4257;5.1480
79.7725;5.1480
79.7725;5.1932
80.0313;5.2388
80.2901;5.2848
80.5612;5.3296
80.7795;5.3296
80.7795;5.3752
81.1386;5.4216
81.3516;5.4672
81.5981;5.5124
81.9061;5.5124
82.1579;5.5580
82.1579;5.6024
82.4343;5.6480
82.6649;5.6928
83.0345;5.7380
83.2194;5.7380
83.2194;5.7836
83.4782;5.8288
83.7475;5.8744
83.9992;5.9196
84.2228;5.9196
84.2228;5.9652
84.4552;6.0100
84.6840;6.0560
85.0555;6.1024
85.3037;6.1024
85.3037;6.1488
85.5449;6.1932
85.7984;6.2384
86.0343;6.2840
86.2666;6.2840
86.4867;6.3292
86.4867;6.3752
86.7719;6.4200
87.0025;6.4652
87.2824;6.5108
87.5359;6.5108
87.5359;6.5556
87.7225;6.6004
88.0006;6.6460
88.2172;6.6912
88.5076;6.6912
88.7382;6.7368
88.7382;6.7820
89.0058;6.8276
89.2540;6.8732
89.4494;6.8732
89.6994;6.9184
89.6994;6.9636
89.8878;7.0100
90.2082;7.0556
90.4388;7.1008
90.6166;7.1008
90.6166;7.1460
90.9247;7.1916
91.1113;7.2364
91.3472;7.2816
91.5408;7.2816
91.5408;7.3272
91.7873;7.3736
91.9915;7.4196
92.2696;7.4652
92.5530;7.4652
92.7326;7.5104
92.7326;7.5552
92.9667;7.6004
93.1727;7.6460
93.3663;7.6912
93.6304;7.6912
93.6304;7.7364
93.8276;7.7816
94.1515;7.8268
94.3170;7.8720
94.5828;7.8720
94.7729;7.9176
94.7729;7.9624
94.9982;8.0080
95.2781;8.0532
95.4647;8.0988
95.7763;8.0988
95.7763;8.1432
95.9330;8.1888
96.1513;8.2344
96.3467;8.2796
96.5667;8.2796
96.7639;8.3252
96.7639;8.3704
96.9664;8.4160
97.2515;8.4616
97.4293;8.5052
97.6353;8.5052
97.6353;8.5508
97.8800;8.5952
98.1001;8.6404
98.3201;8.6856
98.5102;8.6856
98.7109;8.7300
98.7109;8.7756
98.9662;8.8212
99.1792;8.8660
99.4045;8.9108
99.6175;8.9108
99.6175;8.9564
99.7953;9.0024
99.9925;9.0468
100.1703;9.0920
100.3956;9.0920
100.5928;9.1372
100.5928;9.1820
100.8516;9.2284
101.1068;9.2728
101.2688;9.3176
101.4642;9.3176
101.4642;9.3632
101.6578;9.4088
101.8867;9.4536
102.0768;9.4996
102.3268;9.5452
102.5521;9.5452
102.5521;9.5904
102.6894;9.6348
102.9253;9.6796
103.1031;9.7248
103.3056;9.7248
103.3056;9.7704
103.4834;9.8160
103.7122;9.8616
103.9886;9.9064
104.1365;9.9516
104.3512;9.9516
104.3512;9.9976
104.5114;10.0436
104.7297;10.0892
104.8952;10.1348
105.0607;10.1348
105.0607;10.1804
105.3230;10.2260
105.5219;10.2720
105.7191;10.3168
105.8828;10.3168
106.0659;10.3616
106.0659;10.4072
106.2542;10.4528
106.4197;10.4984
106.6961;10.5428
106.8369;10.5428
106.8369;10.5888
107.0728;10.6340
107.2154;10.6792
107.4143;10.7248
107.6185;10.7248
107.6185;10.7712
107.7823;10.8156
108.0534;10.8612
108.1942;10.9064
108.3773;10.9512
108.5410;10.9512
108.5410;10.9960
108.7258;11.0412
108.8807;11.0868
109.0621;11.1332
109.2839;11.1332
109.2839;11.1796
109.4951;11.2248
109.6923;11.2704
109.8595;11.3168
110.0461;11.3168
110.0461;11.3620
110.1905;11.4084
110.3524;11.4548
110.5162;11.4996
110.7873;11.4996
110.9633;11.5448
110.9633;11.5896
111.1147;11.6356
111.2854;11.6804
111.4228;11.7256
111.5935;11.7256
111.5935;11.7704
111.7590;11.8160
111.9755;11.8612
112.1551;11.9072
112.3487;11.9072
112.5336;11.9524
112.5336;11.9972
112.6638;12.0436
112.8663;12.0896
113.0282;12.0896
113.2289;12.1344
113.2289;12.1796
113.3962;12.2244
113.5317;12.2688
113.7500;12.3148
113.8750;12.3148
113.8750;12.3596
114.0422;12.4048
114.1831;12.4496
114.3802;12.4952
114.5351;12.4952
114.6654;12.5400
114.6654;12.5848
114.9066;12.6308
115.0369;12.6756
115.2147;12.7208
115.3467;12.7208
115.3467;12.7660
115.5086;12.8116
115.6917;12.8560
115.8220;12.9012
116.0544;12.9464
116.1706;12.9464
116.1706;12.9924
116.3519;13.0376
116.4786;13.0828
116.6212;13.1284
116.7656;13.1284
116.7656;13.1736
116.9046;13.2188
117.1898;13.2644
117.2990;13.3100
117.4592;13.3544
117.5947;13.3544
117.5947;13.4000
117.7567;13.4448
117.8887;13.4904
118.0313;13.5368
118.2531;13.5368
118.2531;13.5828
118.3623;13.6284
118.5260;13.6736
118.7143;13.7200
118.8710;13.7200
118.8710;13.7656
119.0242;13.8120
119.1685;13.8564
119.3146;13.9012
119.5100;13.9012
119.6702;13.9460
119.6702;13.9912
119.8322;14.0356
120.0100;14.0812
120.1209;14.1276
120.3005;14.1276
120.3005;14.1736
120.4466;14.2196
120.6279;14.2656
120.7758;14.3108
120.9060;14.3108
121.0768;14.3552
121.0768;14.4004
121.1648;14.4460
121.3092;14.4912
121.4570;14.4912
121.6331;14.5364
121.6331;14.5816
121.8214;14.6272
121.9183;14.6728
122.0837;14.7188
122.1806;14.7188
122.1806;14.7636
122.3003;14.8088
122.4253;14.8548
122.5925;14.9004
122.7351;14.9004
122.8513;14.9456
122.8513;14.9908
123.0678;15.0372
123.1664;15.0824
123.3072;15.1272
123.4269;15.1272
123.4269;15.1728
123.5431;15.2176
123.7332;15.2620
123.8353;15.3076
124.0483;15.3076
124.1434;15.3524
124.1434;15.3964
124.2666;15.4412
124.3705;15.4868
124.4990;15.5312
124.6293;15.5312
124.6293;15.5772
124.7384;15.6220
124.9550;15.6668
125.0535;15.7136
125.2137;15.7136
125.3458;15.7592
125.3458;15.8040
125.4672;15.8480
125.6010;15.8928
125.7119;15.9380
125.9285;15.9380
126.0200;15.9844
126.0200;16.0288
126.1626;16.0744
126.2700;16.1208
126.4020;16.1208
126.4971;16.1668
126.4971;16.2120
126.6520;16.2576
126.8368;16.3024
126.9213;16.3480
127.0375;16.3480
127.0375;16.3932
127.1449;16.4384
127.2822;16.4836
127.3861;16.5280
127.5111;16.5280
127.6396;16.5724
127.6396;16.6180
127.8138;16.6624
127.9406;16.7080
128.0849;16.7536
128.2381;16.7536
128.2381;16.7976
128.3314;16.8424
128.4740;16.8884
128.5779;16.9332
128.7645;16.9332
128.9000;16.9792
128.9000;17.0252
129.0285;17.0708
129.1676;17.1168
129.2415;17.1168
129.3612;17.1624
129.3612;17.2072
129.4686;17.2528
129.6183;17.2976
129.7344;17.3428
129.9334;17.3428
129.9334;17.3892
130.0672;17.4336
130.1464;17.4788
130.2819;17.5244
130.3875;17.5244
130.5055;17.5696
130.5055;17.6148
130.6217;17.6612
130.7203;17.7064
130.9033;17.7504
130.9491;17.7504
130.9491;17.7956
131.0917;17.8412
131.1727;17.8860
131.2748;17.9308
131.3575;17.9308
131.4843;17.9760
131.4843;18.0220
131.6779;18.0672
131.7343;18.1132
131.8504;18.1576
131.9191;18.1576
131.9191;18.2020
132.0300;18.2468
132.1110;18.2932
132.1884;18.3372
132.3416;18.3372
132.4032;18.3824
132.4032;18.4280
132.5423;18.4736
132.6197;18.5188
132.7306;18.5644
132.8028;18.5644
132.8028;18.6092
132.8768;18.6544
133.0334;18.6996
133.0774;18.7448
133.1989;18.7448
133.2535;18.7900
133.2535;18.8344
133.3732;18.8800
133.4154;18.9256
133.5158;18.9720
133.6214;18.9720
133.6214;19.0164
133.6848;19.0616
133.7675;19.1064
133.8749;19.1516
133.9928;19.1960
134.0404;19.1960
134.0404;19.2408
134.1266;19.2860
134.2323;19.3316
134.2798;19.3772
134.3590;19.4220
134.4558;19.4220
134.4558;19.4684
134.5403;19.5144
134.5755;19.5608
134.6372;19.6064
134.6847;19.6064
134.6847;19.6528
134.7780;19.6984
134.8519;19.7440
134.9364;19.7888
135.0174;19.7888
135.0174;19.8336
135.0526;19.8796
135.1353;19.9252
135.1882;19.9704
135.2533;19.9704
135.3695;20.0160
135.3695;20.0612
135.4258;20.1056
135.5174;20.1500
135.5385;20.1956
135.5860;20.1956
135.5860;20.2420
135.6247;20.2872
135.6899;20.3328
135.7268;20.3784
135.8307;20.4248
135.9082;20.4704
135.9522;20.4704
135.9522;20.5168
135.9927;20.5624
136.0226;20.6076
136.0648;20.6540
136.0948;20.6540
136.1176;20.6992
136.1176;20.7440
136.2110;20.7892
136.2021;20.8344
136.2497;20.8796
136.2426;20.8796
136.2426;20.9240
136.2409;20.9696
136.2162;21.0136
136.2127;21.0580
136.2198;21.1036
136.2021;21.1036
136.2021;21.1488
136.1845;21.1940
136.1669;21.2400
136.1845;21.2848
136.1441;21.2848
136.1493;21.3304
136.1493;21.3764
136.2021;21.4224
136.1845;21.4684
136.2039;21.4684
136.1581;21.5144
136.1581;21.5608
136.1810;21.6072
136.1617;21.6532
136.1493;21.6532
136.1493;21.6996
136.1775;21.7460
136.1124;21.7920
136.0736;21.8380
135.9663;21.8380
135.9222;21.8832
135.9222;21.9280
135.8201;21.9732
135.7480;22.0192
135.6652;22.0644
135.5684;22.0644
135.5684;22.1088
135.4769;22.1544
135.2498;22.1996
135.1248;22.2448
134.9470;22.2448
134.7269;22.2896
134.7269;22.3348
134.5738;22.3808
134.3396;22.4264
134.1390;22.4712
133.8080;22.4712
133.8080;22.5160
133.5774;22.5612
133.2869;22.6056
132.9348;22.6520
132.6285;22.6520
132.1268;22.6972
132.1268;22.7432
131.7290;22.7880
131.2660;22.8344
130.6763;22.8808
130.1446;22.8808
130.1446;22.9256
129.3982;22.9708
128.7469;23.0164
127.9494;23.0616
127.3139;23.1060
126.6291;23.1060
126.6291;23.1516
125.6221;23.1968
124.8951;23.2424
123.9920;23.2884
123.1505;23.2884
123.1505;23.3340
122.2070;23.3796
121.0328;23.4260
120.1649;23.4720
119.2425;23.4720
119.2425;23.5172
118.3077;23.5636
117.5947;23.6096
116.7180;23.6540
115.9892;23.6988
115.0985;23.6988
115.0985;23.7448
114.3169;23.7904
113.4771;23.8356
112.7941;23.8808
112.2044;23.8808
111.3787;23.9260
111.3787;23.9712
110.4475;24.0168
109.2927;24.0624
108.3509;24.1080
