Força;Posição
122,18;14,72
122,18;14,76
122,30;14,81
122,43;14,85
122,59;14,90
122,74;14,90
122,85;14,95
122,85;14,99
123,07;15,04
123,17;15,08
123,31;15,13
123,43;15,13
123,43;15,17
123,54;15,22
123,73;15,26
123,84;15,31
124,05;15,31
124,14;15,35
124,14;15,40
124,27;15,44
124,37;15,49
124,50;15,53
124,63;15,53
124,63;15,58
124,74;15,62
124,95;15,67
125,05;15,71
125,21;15,71
125,35;15,76
125,35;15,80
125,47;15,85
125,60;15,89
125,71;15,94
125,93;15,94
126,02;15,98
126,02;16,03
126,16;16,07
126,27;16,12
126,40;16,12
126,50;16,17
126,50;16,21
126,65;16,26
126,84;16,30
126,92;16,35
127,04;16,35
127,04;16,39
127,14;16,44
127,28;16,48
127,39;16,53
127,51;16,53
127,64;16,57
127,64;16,62
127,81;16,66
127,94;16,71
128,08;16,75
128,24;16,75
128,24;16,80
128,33;16,84
128,47;16,89
128,58;16,93
128,76;16,93
128,90;16,98
128,90;17,03
129,03;17,07
129,17;17,12
129,24;17,12
129,36;17,16
129,36;17,21
129,47;17,25
129,62;17,30
129,73;17,34
129,93;17,34
129,93;17,39
130,07;17,43
130,15;17,48
130,28;17,52
130,39;17,52
130,51;17,57
130,51;17,61
130,62;17,66
130,72;17,71
130,90;17,75
130,95;17,75
130,95;17,80
131,09;17,84
131,17;17,89
131,27;17,93
131,36;17,93
131,48;17,98
131,48;18,02
131,68;18,07
131,73;18,11
131,85;18,16
131,92;18,16
131,92;18,20
132,03;18,25
132,11;18,29
132,19;18,34
132,34;18,34
132,40;18,38
132,40;18,43
132,54;18,47
132,62;18,52
132,73;18,56
132,80;18,56
132,80;18,61
132,88;18,65
133,03;18,70
133,08;18,74
133,20;18,74
133,25;18,79
133,25;18,83
133,37;18,88
133,42;18,93
133,52;18,97
133,62;18,97
133,62;19,02
133,68;19,06
133,77;19,11
133,87;19,15
133,99;19,20
134,04;19,20
134,04;19,24
134,13;19,29
134,23;19,33
134,28;19,38
134,36;19,42
134,46;19,42
134,46;19,47
134,54;19,51
134,58;19,56
134,64;19,61
134,68;19,61
134,68;19,65
134,78;19,70
134,85;19,74
134,94;19,79
